temp_c,condition,wind_kph,pressure_mb,humidity,feelslike_c,windchill_c,heatindex_c,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,state,city
26.4,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",0.6,1004.0,51.0,27.0,26.4,27.0,0.0,0.0,0.0,0.0,10.0,6.0,0.7,1.2,Uttar Pradesh,Lucknow
28.5,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",8.3,1005.0,20.0,26.5,28.5,26.5,0.0,0.0,0.0,0.0,10.0,6.0,9.4,15.1,Uttar Pradesh,Noida
28.0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",7.8,1004.0,22.0,26.3,28.0,26.3,0.0,0.0,0.0,0.0,10.0,6.0,8.8,14.2,Uttar Pradesh,Noida
27.6,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",7.3,1004.0,24.0,26.0,27.6,26.0,0.0,0.0,0.0,0.0,10.0,6.0,8.2,13.2,Uttar Pradesh,Noida
27.1,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",6.8,1004.0,25.0,25.8,27.1,25.8,0.0,0.0,0.0,0.0,10.0,6.0,7.6,12.2,Uttar Pradesh,Noida
26.7,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",6.2,1004.0,27.0,25.7,26.7,25.7,0.0,0.0,0.0,0.0,10.0,6.0,7.0,11.3,Uttar Pradesh,Noida
26.3,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",5.6,1005.0,29.0,25.5,26.3,25.5,0.0,0.0,0.0,0.0,10.0,6.0,6.4,10.3,Uttar Pradesh,Noida
25.9,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",5.0,1005.0,31.0,25.4,25.9,25.4,0.0,0.0,0.0,0.0,10.0,6.0,5.8,9.4,Uttar Pradesh,Noida
27.4,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",4.4,1006.0,28.0,26.4,27.4,26.4,0.0,0.0,0.0,0.0,10.0,6.0,4.6,7.4,Uttar Pradesh,Noida
29.0,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",3.8,1006.0,25.0,27.5,29.0,27.5,0.0,0.0,0.0,0.0,10.0,6.0,3.4,5.5,Uttar Pradesh,Noida
30.5,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",3.2,1006.0,22.0,28.5,30.5,28.5,0.0,0.0,0.0,0.0,10.0,6.0,2.2,3.6,Uttar Pradesh,Noida
33.0,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",3.6,1006.0,19.0,31.3,33.0,31.3,0.0,0.0,0.0,0.0,10.0,6.0,2.5,4.1,Uttar Pradesh,Noida
35.4,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",4.0,1005.0,16.0,34.1,35.4,34.1,0.0,0.0,0.0,0.0,10.0,6.0,2.8,4.6,Uttar Pradesh,Noida
37.9,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",4.3,1004.0,13.0,36.9,37.9,36.9,0.0,0.0,0.0,0.0,10.0,6.0,3.1,5.0,Uttar Pradesh,Noida
38.2,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",3.5,1004.0,12.0,37.3,38.2,37.3,0.0,0.0,0.0,0.0,10.0,6.0,2.5,4.1,Uttar Pradesh,Noida
38.4,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",2.6,1003.0,12.0,37.6,38.4,37.6,0.0,0.0,0.0,0.0,10.0,6.0,1.9,3.1,Uttar Pradesh,Noida
38.7,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",1.8,1002.0,11.0,38.0,38.7,38.0,0.0,0.0,0.0,0.0,10.0,6.0,1.3,2.2,Uttar Pradesh,Noida
37.3,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",2.3,1002.0,12.0,36.2,37.3,36.2,0.0,0.0,0.0,0.0,10.0,6.0,1.7,2.8,Uttar Pradesh,Noida
35.8,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",2.8,1003.0,13.0,34.3,35.8,34.3,0.0,0.0,0.0,0.0,10.0,6.0,2.1,3.4,Uttar Pradesh,Noida
34.4,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",3.2,1003.0,15.0,32.5,34.4,32.5,0.0,0.0,0.0,0.0,10.0,6.0,2.5,4.0,Uttar Pradesh,Noida
33.2,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",4.3,1003.0,15.0,31.2,33.2,31.2,0.0,0.0,0.0,0.0,10.0,6.0,3.9,6.2,Uttar Pradesh,Noida
32.0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",5.4,1004.0,16.0,29.9,32.0,29.9,0.0,0.0,0.0,0.0,10.0,6.0,5.3,8.5,Uttar Pradesh,Noida
30.8,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",6.5,1004.0,17.0,28.6,30.8,28.6,0.0,0.0,0.0,0.0,10.0,6.0,6.7,10.8,Uttar Pradesh,Noida
30.3,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",6.1,1004.0,19.0,28.2,30.3,28.2,0.0,0.0,0.0,0.0,10.0,6.0,6.5,10.4,Uttar Pradesh,Noida
29.8,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",5.8,1004.0,21.0,27.9,29.8,27.9,0.0,0.0,0.0,0.0,10.0,6.0,6.3,10.1,Uttar Pradesh,Noida
23.3,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",4.0,1005.0,57.0,25.0,23.3,25.0,0.0,0.0,0.0,0.0,10.0,6.0,5.1,8.3,Uttar Pradesh,Varanasi
23.0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",4.6,1004.0,57.0,24.9,23.0,24.9,0.0,0.0,0.0,0.0,10.0,6.0,6.0,9.6,Uttar Pradesh,Varanasi
